Site,Date,Night,Time,DateTimeOriginal,SpeciesID
FCB-0512,2016-05-31,2016-05-31,21:37:37,2016-05-31 21:37,40K
FCB-0512,2016-05-31,2016-05-31,21:41:10,2016-05-31 21:41,40K
FCB-0512,2016-05-31,2016-05-31,21:41:36,2016-05-31 21:41,40K
FCB-0512,2016-05-31,2016-05-31,21:42:08,2016-05-31 21:42,LANO
FCB-0512,2016-05-31,2016-05-31,21:42:17,2016-05-31 21:42,LANO
FCB-0512,2016-05-31,2016-05-31,21:42:21,2016-05-31 21:42,EPFULANO
FCB-0512,2016-05-31,2016-05-31,21:45:13,2016-05-31 21:45,35K
FCB-0512,2016-05-31,2016-05-31,21:45:17,2016-05-31 21:45,35K
FCB-0512,2016-06-03,2016-06-03,22:00:45,2016-06-03 22:00,40K
FCB-0512,2016-05-31,2016-05-31,21:48:42,2016-05-31 21:48,35K
FCB-0512,2016-05-31,2016-05-31,21:50:11,2016-05-31 21:50,35K
FCB-0512,2016-05-31,2016-05-31,21:52:15,2016-05-31 21:52,35K
FCB-0512,2016-05-31,2016-05-31,21:52:33,2016-05-31 21:52,40K
FCB-0512,2016-05-31,2016-05-31,21:52:52,2016-05-31 21:52,35K
FCB-0512,2016-06-07,2016-06-07,21:38:43,2016-06-07 21:38,40K
FCB-0512,2016-05-31,2016-05-31,21:53:26,2016-05-31 21:53,MYLU
FCB-0512,2016-05-31,2016-05-31,22:47:19,2016-05-31 22:47,40K
FCB-0512,2016-05-31,2016-05-31,22:49:52,2016-05-31 22:49,35K
FCB-0512,2016-05-31,2016-05-31,22:50:04,2016-05-31 22:50,35K
FCB-0512,2016-05-31,2016-05-31,22:50:16,2016-05-31 22:50,35K
FCB-0512,2016-05-31,2016-05-31,22:50:51,2016-05-31 22:50,35K
FCB-0512,2016-05-31,2016-05-31,22:51:09,2016-05-31 22:51,35K
FCB-0512,2016-05-31,2016-05-31,22:54:11,2016-05-31 22:54,35K
FCB-0512,2016-05-31,2016-05-31,23:04:59,2016-05-31 23:04,35K
FCB-0512,2016-05-31,2016-05-31,23:13:13,2016-05-31 23:13,LANO
FCB-0512,2016-05-31,2016-05-31,23:17:53,2016-05-31 23:17,35K
FCB-0512,2016-05-31,2016-05-31,23:19:33,2016-05-31 23:19,35K
FCB-0512,2016-05-31,2016-05-31,23:36:11,2016-05-31 23:36,35K
FCB-0512,2016-05-31,2016-05-31,23:36:16,2016-05-31 23:36,35K
FCB-0512,2016-05-31,2016-05-31,23:46:09,2016-05-31 23:46,35K
FCB-0512,2016-05-31,2016-05-31,23:48:42,2016-05-31 23:48,40K
FCB-0512,2016-05-31,2016-05-31,23:48:50,2016-05-31 23:48,35K
FCB-0512,2016-05-31,2016-05-31,23:48:50,2016-05-31 23:48,40K
FCB-0512,2016-05-31,2016-05-31,23:54:43,2016-05-31 23:54,35K
FCB-0512,2016-06-01,2016-05-31,0:06:16,2016-06-01 0:06,35K
FCB-0512,2016-06-01,2016-05-31,0:15:28,2016-06-01 0:15,35K
FCB-0512,2016-06-01,2016-05-31,0:17:21,2016-06-01 0:17,35K
FCB-0512,2016-06-01,2016-05-31,0:34:41,2016-06-01 0:34,35K
FCB-0512,2016-06-01,2016-05-31,0:34:47,2016-06-01 0:34,35K
FCB-0512,2016-06-07,2016-06-07,21:40:03,2016-06-07 21:40,40K
FCB-0512,2016-06-01,2016-05-31,0:42:35,2016-06-01 0:42,35K
