Site,basin,file_zc,Date,Night,Time,DateTimeOriginal,Type,DR,Y,M,D,H,M,S,uS,Datum,Lat,Long,Zon,Easting,Northing,Elev,Sp_final,season,Species,Note,ID
CTB-0713,CTB,PBM-CTB-713A_0_20160718_232436_000.zc,2016-07-18,2016-07-18,23:24:36,2016-07-18 23:24,132,8,2016,7,18,23,24,36,0,NAD83,NA,NA,10U,5452778,604011,1251,30K,2,30K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_232447_000.zc,2016-07-18,2016-07-18,23:24:47,2016-07-18 23:24,132,8,2016,7,18,23,24,47,0,NAD83,NA,NA,10U,5452778,604011,1251,30K,2,30K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_234014_000.zc,2016-07-18,2016-07-18,23:40:14,2016-07-18 23:40,132,8,2016,7,18,23,40,14,0,NAD83,NA,NA,10U,5452778,604011,1251,40K,2,40K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_234023_000.zc,2016-07-18,2016-07-18,23:40:23,2016-07-18 23:40,132,8,2016,7,18,23,40,23,0,NAD83,NA,NA,10U,5452778,604011,1251,MYCA,2,mMYCA,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_235308_000.zc,2016-07-18,2016-07-18,23:53:08,2016-07-18 23:53,132,8,2016,7,18,23,53,8,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_235432_000.zc,2016-07-18,2016-07-18,23:54:32,2016-07-18 23:54,132,8,2016,7,18,23,54,32,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_235515_000.zc,2016-07-18,2016-07-18,23:55:15,2016-07-18 23:55,132,8,2016,7,18,23,55,15,0,NAD83,NA,NA,10U,5452778,604011,1251,MYLU,2,"mMYLU,fLABO","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_235702_000.zc,2016-07-18,2016-07-18,23:57:02,2016-07-18 23:57,132,8,2016,7,18,23,57,2,0,NAD83,NA,NA,10U,5452778,604011,1251,30K,2,30K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_235711_000.zc,2016-07-18,2016-07-18,23:57:11,2016-07-18 23:57,132,8,2016,7,18,23,57,11,0,NAD83,NA,NA,10U,5452778,604011,1251,MYEV,2,"mMYEV,fMYEV","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160718_235910_000.zc,2016-07-18,2016-07-18,23:59:10,2016-07-18 23:59,132,8,2016,7,18,23,59,10,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
